prisoner number,BOX number,BOX slip number,Result
85,NA,NA,IN
85,9,45,NA
85,45,41,NA
85,41,33,NA
85,33,67,NA
85,67,97,NA
85,97,6,NA
85,6,74,NA
85,74,25,NA
85,25,60,NA
85,60,9,NA
85,NA,NA,LoopEnd
18,NA,NA,IN
18,13,19,NA
18,19,46,NA
18,46,32,NA
18,32,20,NA
18,20,43,NA
18,43,54,NA
18,54,58,NA
18,58,11,NA
18,11,7,NA
18,7,1,NA
18,1,27,NA
18,27,94,NA
18,94,38,NA
18,38,78,NA
18,78,4,NA
18,4,98,NA
18,98,65,NA
18,65,72,NA
18,72,2,NA
18,2,82,NA
18,82,99,NA
18,99,15,NA
18,15,49,NA
18,49,29,NA
18,29,79,NA
18,79,35,NA
18,35,77,NA
18,77,80,NA
18,80,12,NA
18,12,91,NA
18,91,13,NA
18,NA,NA,LoopEnd
72,NA,NA,IN
72,97,6,NA
72,6,74,NA
72,74,25,NA
72,25,60,NA
72,60,9,NA
72,9,45,NA
72,45,41,NA
72,41,33,NA
72,33,67,NA
72,67,97,NA
72,NA,NA,LoopEnd
60,NA,NA,IN
60,36,84,NA
60,84,52,NA
60,52,73,NA
60,73,3,NA
60,3,89,NA
60,89,47,NA
60,47,28,NA
60,28,93,NA
60,93,87,NA
60,87,70,NA
60,70,81,NA
60,81,53,NA
60,53,92,NA
60,92,59,NA
60,59,5,NA
60,5,68,NA
60,68,42,NA
60,42,69,NA
60,69,44,NA
60,44,37,NA
60,37,39,NA
60,39,16,NA
60,16,8,NA
60,8,0,NA
60,0,14,NA
60,14,76,NA
60,76,71,NA
60,71,95,NA
60,95,62,NA
60,62,51,NA
60,51,23,NA
60,23,24,NA
60,24,57,NA
60,57,21,NA
60,21,55,NA
60,55,85,NA
60,85,75,NA
60,75,88,NA
60,88,22,NA
60,22,30,NA
60,30,96,NA
60,96,86,NA
60,86,34,NA
60,34,36,NA
60,NA,NA,LoopEnd
29,NA,NA,IN
29,41,33,NA
29,33,67,NA
29,67,97,NA
29,97,6,NA
29,6,74,NA
29,74,25,NA
29,25,60,NA
29,60,9,NA
29,9,45,NA
29,45,41,NA
29,NA,NA,LoopEnd
24,NA,NA,IN
24,98,65,NA
24,65,72,NA
24,72,2,NA
24,2,82,NA
24,82,99,NA
24,99,15,NA
24,15,49,NA
24,49,29,NA
24,29,79,NA
24,79,35,NA
24,35,77,NA
24,77,80,NA
24,80,12,NA
24,12,91,NA
24,91,13,NA
24,13,19,NA
24,19,46,NA
24,46,32,NA
24,32,20,NA
24,20,43,NA
24,43,54,NA
24,54,58,NA
24,58,11,NA
24,11,7,NA
24,7,1,NA
24,1,27,NA
24,27,94,NA
24,94,38,NA
24,38,78,NA
24,78,4,NA
24,4,98,NA
24,NA,NA,LoopEnd
40,NA,NA,IN
40,42,69,NA
40,69,44,NA
40,44,37,NA
40,37,39,NA
40,39,16,NA
40,16,8,NA
40,8,0,NA
40,0,14,NA
40,14,76,NA
40,76,71,NA
40,71,95,NA
40,95,62,NA
40,62,51,NA
40,51,23,NA
40,23,24,NA
40,24,57,NA
40,57,21,NA
40,21,55,NA
40,55,85,NA
40,85,75,NA
40,75,88,NA
40,88,22,NA
40,22,30,NA
40,30,96,NA
40,96,86,NA
40,86,34,NA
40,34,36,NA
40,36,84,NA
40,84,52,NA
40,52,73,NA
40,73,3,NA
40,3,89,NA
40,89,47,NA
40,47,28,NA
40,28,93,NA
40,93,87,NA
40,87,70,NA
40,70,81,NA
40,81,53,NA
40,53,92,NA
40,92,59,NA
40,59,5,NA
40,5,68,NA
40,68,42,NA
40,NA,NA,LoopEnd
2,NA,NA,IN
2,31,61,NA
2,61,10,NA
2,10,64,NA
2,64,83,NA
2,83,66,NA
2,66,18,NA
2,18,40,NA
2,40,63,NA
2,63,31,NA
2,NA,NA,LoopEnd
1,NA,NA,IN
1,76,71,NA
1,71,95,NA
1,95,62,NA
1,62,51,NA
1,51,23,NA
1,23,24,NA
1,24,57,NA
1,57,21,NA
1,21,55,NA
1,55,85,NA
1,85,75,NA
1,75,88,NA
1,88,22,NA
1,22,30,NA
1,30,96,NA
1,96,86,NA
1,86,34,NA
1,34,36,NA
1,36,84,NA
1,84,52,NA
1,52,73,NA
1,73,3,NA
1,3,89,NA
1,89,47,NA
1,47,28,NA
1,28,93,NA
1,93,87,NA
1,87,70,NA
1,70,81,NA
1,81,53,NA
1,53,92,NA
1,92,59,NA
1,59,5,NA
1,5,68,NA
1,68,42,NA
1,42,69,NA
1,69,44,NA
1,44,37,NA
1,37,39,NA
1,39,16,NA
1,16,8,NA
1,8,0,NA
1,0,14,NA
1,14,76,NA
1,NA,NA,LoopEnd
34,NA,NA,IN
34,49,29,NA
34,29,79,NA
34,79,35,NA
34,35,77,NA
34,77,80,NA
34,80,12,NA
34,12,91,NA
34,91,13,NA
34,13,19,NA
34,19,46,NA
34,46,32,NA
34,32,20,NA
34,20,43,NA
34,43,54,NA
34,54,58,NA
34,58,11,NA
34,11,7,NA
34,7,1,NA
34,1,27,NA
34,27,94,NA
34,94,38,NA
34,38,78,NA
34,78,4,NA
34,4,98,NA
34,98,65,NA
34,65,72,NA
34,72,2,NA
34,2,82,NA
34,82,99,NA
34,99,15,NA
34,15,49,NA
34,NA,NA,LoopEnd
73,NA,NA,IN
73,25,60,NA
73,60,9,NA
73,9,45,NA
73,45,41,NA
73,41,33,NA
73,33,67,NA
73,67,97,NA
